id,station,name,type,logo,genre,broadcaster,language,country,region,bitrate,format,geo_fenced,home_page,reserved2,logoMissing,logoFile,Match1,Match2,Match3,Match Chk
519,http://icecast.thisisdax.com/CapitalXTRAReloaded,Capital XTRA Reloaded,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Capital XTRA Reloaded.jpg,Capital XTRA Reloaded,ACC,48s,Capital XTRA Reloaded
520,http://icecast.thisisdax.com/ClassicFM,Classic FM (UK),r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Classic FM (UK).jpg,Classic FM (UK),ACC,48s,Classic FM (UK)
521,http://edge-bauerall-01-gos2.sharp-stream.com/forth1.mp3,Forth 1,r,local,,Bauer Media,English,UK,Europe,112s,MP3,No,,NULL,FALSE,Forth 1.jpg,Forth 1,MP3,112s,Forth 1
522,http://edge-bauerall-01-gos2.sharp-stream.com/forth2.mp3,Forth 2,r,local,,Bauer Media,English,UK,Europe,112s,MP3,No,,NULL,FALSE,Forth 2.jpg,Forth 2,MP3,112s,Forth 2
523,http://icecast.thisisdax.com/Gold,Gold,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Gold.jpg,Gold,ACC,48s,Gold
524,http://icecast.thisisdax.com/HeartNorthLancsCumbria,Heart (North West England) (North Lancashire & Cumbria),r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Heart (North West England) (North Lancashire & Cumbria).jpg,Heart (North West England) (North Lancashire & Cumbria),ACC,48s,Heart (North West England) (North Lancashire & Cumbria)
525,http://icecast.thisisdax.com/HeartUK,Heart (UK),r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Heart (UK).jpg,Heart (UK),ACC,48s,Heart (UK)
526,http://icecast.thisisdax.com/Heart00s,Heart 00s,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Heart 00s.jpg,Heart 00s,ACC,48s,Heart 00s
527,http://icecast.thisisdax.com/Heart70s,Heart 70s,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Heart 70s.jpg,Heart 70s,ACC,48s,Heart 70s
528,http://icecast.thisisdax.com/Heart80s,Heart 80s,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Heart 80s.jpg,Heart 80s,ACC,48s,Heart 80s
529,http://icecast.thisisdax.com/Heart90s,Heart 90s,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Heart 90s.jpg,Heart 90s,ACC,48s,Heart 90s
530,http://icecast.thisisdax.com/HeartDance,Heart Dance,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Heart Dance.jpg,Heart Dance,ACC,48s,Heart Dance
531,http://icecast.thisisdax.com/HeartXmas,Heart Xmas,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Heart Xmas.png,Heart Xmas,ACC,48s,Heart Xmas
532,https://streamer.radio.co:80/sf97bc756a/listen,Lake District Radio,r,local,, ,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Lake District Radio.jpg,Lake District Radio,ACC,48s,Lake District Radio
533,http://media-the.musicradio.com:80/LBCUK,LBC (UK),r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,LBC (UK).jpg,LBC (UK),moode-ACC,48s,LBC (UK)
534,http://media-the.musicradio.com:80/LBCNewsUK,LBC News (UK),r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,LBC News (UK).jpg,LBC News (UK),moode-ACC,48s,LBC News (UK)
535,http://stream.radioparadise.com/mp3-192,Radio Paradise,r,local,, ,English,UK,Europe,192s,MP3,No,,NULL,FALSE,Radio Paradise.png,Radio Paradise,MP3,192s,Radio Paradise
536,http://icecast.thisisdax.com/RadioXUK,Radio X (UK),r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Radio X (UK).jpg,Radio X (UK),ACC,48s,Radio X (UK)
537,http://edge-bauerall-01-gos2.sharp-stream.com/rock.mp3,Rock FM,r,local,,Bauer Media,English,UK,Europe,112s,MP3,No,,NULL,FALSE,Rock FM.jpg,Rock FM,MP3,112s,Rock FM
538,http://icecast.thisisdax.com/SmoothChill,Smooth Chill,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Smooth Chill.jpg,Smooth Chill,ACC,48s,Smooth Chill
539,http://icecast.thisisdax.com/SmoothCountry,Smooth Country,r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Smooth Country.jpg,Smooth Country,ACC,48s,Smooth Country
540,http://icecast.thisisdax.com/SmoothLakeDistrict,Smooth Radio (Lake District),r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Smooth Radio (Lake District).jpg,Smooth Radio (Lake District),ACC,48s,Smooth Radio (Lake District)
541,http://icecast.thisisdax.com/SmoothUK,Smooth Radio (UK),r,local,,Global,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Smooth Radio (UK).jpg,Smooth Radio (UK),ACC,48s,Smooth Radio (UK)
542,http://radio.talkradio.co.uk/stream-mobile?ref=rf,TalkRadio,r,local,,Wireless,English,UK,Europe,32m,MP3,No,,NULL,FALSE,TalkRadio.png,TalkRadio,ACC,32m,TalkRadio
543,http://radio.talksport.com/stream-mobile?ref=rf,talkSPORT (UK),r,local,,Wireless,English,UK,Europe,32m,MP3,No,,NULL,FALSE,talkSPORT (UK).png,talkSPORT (UK),ACC,32m,talkSPORT (UK)
544,http://radio.talksport.com/stream2?ref=rf,talkSPORT 2,r,local,,Wireless,English,UK,Europe,128s,MP3,No,,NULL,FALSE,talkSPORT 2.png,talkSPORT 2,MP3,128s,talkSPORT 2
545,http://radio.virginradio.co.uk/stream?ref=rf,Virgin Radio,r,local,,Wireless,English,UK,Europe,128s,MP3,No,,NULL,FALSE,Virgin Radio.png,Virgin Radio,MP3,128s,Virgin Radio
546,http://radio.virginradio.co.uk/stream-pride?ref=rf,Virgin Radio 80s PLUS,r,local,,Wireless,English,UK,Europe,128s,MP3,No,,NULL,FALSE,Virgin Radio 80s PLUS.png,Virgin Radio 80s PLUS,MP3,128s,Virgin Radio 80s PLUS
547,http://radio.virginradio.co.uk/stream-anthems?ref=rf,Virgin Radio Anthems,r,local,,Wireless,English,UK,Europe,128s,MP3,No,,NULL,FALSE,Virgin Radio Anthems.png,Virgin Radio Anthems,MP3,128s,Virgin Radio Anthems
548,http://radio.virginradio.co.uk/stream-chilled?ref=rf,Virgin Radio Chilled,r,local,,Wireless,English,UK,Europe,128s,MP3,No,,NULL,FALSE,Virgin Radio Chilled.png,Virgin Radio Chilled,MP3,128s,Virgin Radio Chilled
